Address: 48122, Value: 3
Address: 7294, Value: 3
Address: 8810, Value: 3
Address: 17220, Value: 1
Address: 16457, Value: 1
Address: 28672, Value: 3
Address: 53845, Value: 1
Address: 6465, Value: 3
Address: 40230, Value: 3
Address: 6514, Value: 3
Address: 58725, Value: 1
Address: 60961, Value: 2
Address: 40901, Value: 1
Address: 63126, Value: 3
Address: 41594, Value: 1
Address: 31624, Value: 3
Address: 6772, Value: 3
Address: 17979, Value: 3
Address: 64564, Value: 1
Address: 50162, Value: 3
Address: 26038, Value: 1
Address: 39203, Value: 3
Address: 7192, Value: 1
Address: 1563, Value: 1
Address: 22654, Value: 1
Address: 14373, Value: 1
Address: 24883, Value: 3
Address: 27345, Value: 3
Address: 40581, Value: 3
Address: 48607, Value: 1
Address: 53592, Value: 1
Address: 14870, Value: 1
Address: 27171, Value: 1
Address: 30189, Value: 2
Address: 34160, Value: 3
Address: 7179, Value: 1
Address: 153, Value: 3
Address: 36282, Value: 1
Address: 1045, Value: 3
Address: 53992, Value: 2
Address: 402, Value: 1
Address: 53091, Value: 3
Address: 32537, Value: 2
Address: 4400, Value: 3
Address: 23892, Value: 1
Address: 42015, Value: 3
Address: 55204, Value: 1
Address: 20126, Value: 1
Address: 21595, Value: 1
Address: 51028, Value: 3
Address: 30359, Value: 3
Address: 42241, Value: 3
Address: 31868, Value: 3
Address: 14492, Value: 3
Address: 40927, Value: 3
Address: 13886, Value: 1
Address: 4370, Value: 1
Address: 64665, Value: 1
Address: 43194, Value: 3
Address: 24315, Value: 1
Address: 20421, Value: 3
Address: 21149, Value: 1
Address: 14604, Value: 1
Address: 57964, Value: 1
Address: 52006, Value: 1
Address: 47804, Value: 0
Address: 48976, Value: 3
Address: 19865, Value: 0
Address: 22501, Value: 1
Address: 15703, Value: 2
Address: 36229, Value: 0
Address: 37541, Value: 1
Address: 15290, Value: 3
Address: 49688, Value: 3
Address: 13619, Value: 1
Address: 48571, Value: 3
Address: 58772, Value: 3
Address: 19514, Value: 1
Address: 18036, Value: 3
Address: 14102, Value: 3
Address: 23109, Value: 2
Address: 47310, Value: 3
Address: 16025, Value: 1
Address: 13583, Value: 3
Address: 18561, Value: 1
Address: 19824, Value: 3
Address: 37607, Value: 3
Address: 59111, Value: 3
Address: 57238, Value: 1
Address: 48091, Value: 1
Address: 51454, Value: 1
Address: 56754, Value: 1
Address: 43012, Value: 3
Address: 54531, Value: 3
Address: 3033, Value: 2
Address: 49888, Value: 1
Address: 45192, Value: 3
Address: 24470, Value: 0
Address: 743, Value: 1
Address: 42948, Value: 1
Address: 55325, Value: 3
Address: 30605, Value: 3
Address: 16050, Value: 3
Address: 32145, Value: 3
Address: 8740, Value: 3
Address: 8366, Value: 3
Address: 34036, Value: 3
Address: 29079, Value: 1
Address: 12103, Value: 3
Address: 57600, Value: 3
Address: 7869, Value: 3
Address: 11112, Value: 3
Address: 5519, Value: 1
Address: 50173, Value: 1
Address: 2699, Value: 1
Address: 49046, Value: 1
Address: 39638, Value: 1
Address: 29139, Value: 3
Address: 7374, Value: 3
Address: 15772, Value: 3
Address: 55691, Value: 1
Address: 62342, Value: 3
Address: 17919, Value: 3
Address: 12037, Value: 3
Address: 23773, Value: 1
Address: 9996, Value: 1
Address: 62517, Value: 3
Address: 9626, Value: 1
Address: 65132, Value: 3
Address: 19768, Value: 3
Address: 45825, Value: 3
Address: 10682, Value: 1
Address: 55612, Value: 1
Address: 8168, Value: 3
Address: 39208, Value: 3
Address: 28278, Value: 1
Address: 23163, Value: 2
Address: 57740, Value: 3
Address: 23578, Value: 1
Address: 57026, Value: 1
Address: 47138, Value: 1
Address: 45387, Value: 1
Address: 6587, Value: 3
Address: 62260, Value: 3
Address: 29087, Value: 3
Address: 5237, Value: 1
Address: 14048, Value: 3
Address: 50896, Value: 1
Address: 4953, Value: 1
Address: 12819, Value: 1
Address: 58706, Value: 1
Address: 23790, Value: 3
Address: 5857, Value: 2
Address: 55807, Value: 3
Address: 4137, Value: 1
Address: 2962, Value: 3
Address: 44346, Value: 3
Address: 4966, Value: 1
Address: 8691, Value: 2
Address: 44259, Value: 3
Address: 43082, Value: 3
Address: 41167, Value: 1
Address: 21565, Value: 1
Address: 14680, Value: 3
Address: 27611, Value: 1
Address: 42691, Value: 1
Address: 45635, Value: 1
Address: 385, Value: 1
Address: 58761, Value: 1
Address: 17094, Value: 3
Address: 32980, Value: 1
Address: 56226, Value: 3
Address: 30262, Value: 1
Address: 44106, Value: 1
Address: 57077, Value: 3
Address: 50008, Value: 1
Address: 53635, Value: 3
Address: 48837, Value: 3
Address: 18882, Value: 3
Address: 19538, Value: 1
Address: 8918, Value: 1
Address: 9846, Value: 3
Address: 18013, Value: 1
Address: 38018, Value: 3
Address: 63951, Value: 3
Address: 703, Value: 1
Address: 17626, Value: 2
Address: 33741, Value: 3
Address: 53491, Value: 3
Address: 45898, Value: 3
Address: 39513, Value: 1
Address: 36453, Value: 1
Address: 13037, Value: 3
Address: 8936, Value: 1
Address: 62228, Value: 1
Address: 26902, Value: 1
Address: 13929, Value: 3
Address: 38296, Value: 1
Address: 7109, Value: 3
Address: 24575, Value: 3
Address: 57915, Value: 1
Address: 8722, Value: 3
Address: 43342, Value: 3
Address: 53754, Value: 1
Address: 36584, Value: 1
Address: 57374, Value: 3
Address: 52723, Value: 2
Address: 26488, Value: 1
Address: 28996, Value: 3
Address: 9322, Value: 3
Address: 7568, Value: 3
Address: 41272, Value: 3
Address: 5851, Value: 1
Address: 51692, Value: 1
Address: 15841, Value: 1
Address: 56772, Value: 3
Address: 1412, Value: 1
Address: 3197, Value: 1
Address: 40765, Value: 2
Address: 1760, Value: 1
Address: 8797, Value: 1
Address: 57163, Value: 1
Address: 61401, Value: 3
Address: 38113, Value: 1
Address: 55199, Value: 3
Address: 31079, Value: 3
Address: 47461, Value: 3
Address: 26083, Value: 3
Address: 32771, Value: 3
Address: 14611, Value: 1
Address: 60398, Value: 1
Address: 25557, Value: 3
Address: 39618, Value: 3
Address: 14515, Value: 3
Address: 30167, Value: 1
Address: 43665, Value: 3
Address: 36074, Value: 1
Address: 48323, Value: 3
Address: 36421, Value: 1
Address: 47972, Value: 1
Address: 4802, Value: 3
Address: 37539, Value: 3
Address: 3884, Value: 3
Address: 45950, Value: 1
Address: 2469, Value: 3
Address: 31134, Value: 1
Address: 29554, Value: 1
Address: 57750, Value: 1
Address: 7124, Value: 1
Address: 10228, Value: 3
Address: 9630, Value: 1
Address: 23531, Value: 3
Address: 21111, Value: 1
Address: 36998, Value: 3
Address: 33674, Value: 1
Address: 34827, Value: 3
Address: 35721, Value: 3
Address: 8260, Value: 3
Address: 53800, Value: 3
Address: 30738, Value: 3
Address: 39268, Value: 2
Address: 779, Value: 3
Address: 7530, Value: 1
Address: 12348, Value: 1
Address: 34900, Value: 2
Address: 62827, Value: 3
Address: 54555, Value: 3
Address: 26339, Value: 3
Address: 22471, Value: 1
Address: 56112, Value: 2
Address: 60644, Value: 3
Address: 34384, Value: 1
Address: 6616, Value: 2
Address: 52742, Value: 3
Address: 12651, Value: 3
Address: 26770, Value: 3
Address: 55420, Value: 1
Address: 63071, Value: 3
Address: 51635, Value: 1
Address: 29358, Value: 3
Address: 38935, Value: 3
Address: 46600, Value: 1
Address: 38885, Value: 3
Address: 16718, Value: 1
Address: 61329, Value: 3
Address: 4764, Value: 1
Address: 51741, Value: 1
Address: 30731, Value: 1
Address: 54089, Value: 1
Address: 9284, Value: 1
Address: 72, Value: 3
Address: 13842, Value: 1
Address: 1679, Value: 1
Address: 18403, Value: 0
Address: 55859, Value: 2
Address: 51543, Value: 1
Address: 47271, Value: 1
Address: 63034, Value: 3
Address: 57122, Value: 3
Address: 4563, Value: 1
Address: 40009, Value: 1
Address: 14108, Value: 2
Address: 25912, Value: 3
Address: 65115, Value: 3
Address: 47389, Value: 1
Address: 56493, Value: 3
Address: 18402, Value: 3
Address: 30184, Value: 1
Address: 60232, Value: 3
Address: 45561, Value: 1
